Id,FirstName,LastName,YearDied,Type,Score,Rank,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,DeletedDate,DeletedBy
1,Pablo,Picasso,1973,"[sculptor,painter]",0,0,0001-01-01,2,0001-01-01,2,,
2,Alvar,Aalto,1976,"[architecture,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
3,Slim,Aarons,2006,"[vibrant,photography,scene]",0,0,0001-01-01,2,0001-01-01,2,,
4,Edwin Austin,Abbey,1911,"[scene,realism]",0,0,0001-01-01,2,0001-01-01,2,,
5,Gertrude,Abercrombie,1977,"[surrealism,dark]",0,0,0001-01-01,2,0001-01-01,2,,
6,Marina,Abramovic,,"[scene,photography]",0,0,0001-01-01,2,0001-01-01,2,,
7,Tomma,Abts,,"[abstract,angular]",0,0,0001-01-01,2,0001-01-01,2,,
8,Vito,Acconci,2017,"[dark,installation,architecture,sculpture]",0,0,0001-01-01,2,0001-01-01,2,,
9,Andreas,Achenbach,1910,"[landscape,seascape,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
10,Norman,Ackroyd,,"[landscape,monochromatic,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
11,Ansel,Adams,1984,"[monochromatic,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
12,Arthur,Adams,,"[detailed,clean]",0,0,0001-01-01,2,0001-01-01,2,,
13,Neal,Adams,2022,"[comics]",0,0,0001-01-01,2,0001-01-01,2,,
14,Josh,Adamski,,"[landscape,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
15,Charles,Addams,1988,"[monochromatic,scene]",0,0,0001-01-01,2,0001-01-01,2,,
16,Etel,Adnan,2021,"[abstract,vibrant,landscape]",0,0,0001-01-01,2,0001-01-01,2,,
17,Mattias,Adolfsson,,"[detailed,whimsical,watercolor]",0,0,0001-01-01,2,0001-01-01,2,,
18,Alena,Aenami,,"[vibrant,landscape,digital]",0,0,0001-01-01,2,0001-01-01,2,,
19,Pieter,Aertsen,1575,"[detailed,scene,renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
20,Hilma,af Klint,1944,"[abstract,low contrast]",0,0,0001-01-01,2,0001-01-01,2,,
21,,Affandi,1990,"[expressionism,messy,abstract,scene]",0,0,0001-01-01,2,0001-01-01,2,,
22,Leonid,Afremov,2019,"[vibrant,stained glass,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
23,Yaacov,Agam,,"[vibrant,colorful,abstract,angular]",0,0,0001-01-01,2,0001-01-01,2,,
24,Eileen,Agar,1991,"[vibrant,abstract,collage]",0,0,0001-01-01,2,0001-01-01,2,,
25,Jacques-Laurent,Agasse,1849,"[landscape,animals]",0,0,0001-01-01,2,0001-01-01,2,,
26,Craigie,Aitchison,2009,"[vibrant,primitivism,figurativism]",0,0,0001-01-01,2,0001-01-01,2,,
27,Doug,Aitken,,"[installation,photography,sculpture]",0,0,0001-01-01,2,0001-01-01,2,,
28,Ivan,Aivazovsky,1900,"[dark,landscape,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
29,David,Aja,,"[high contrast,comics]",0,0,0001-01-01,2,0001-01-01,2,,
30,Sherry,Akrami,,"[monochromatic,photography,surrealism,nature]",0,0,0001-01-01,2,0001-01-01,2,,
31,Rashad,Alakbarov,,"[installation,light]",0,0,0001-01-01,2,0001-01-01,2,,
32,Anni,Albers,1994,"[textile,bauhaus]",0,0,0001-01-01,2,0001-01-01,2,,
33,Josef,Albers,1976,"[bauhaus,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
34,Alessio,Albi,,"[photography,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
35,Ivan,Albright,1983,"[dark,messy,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
36,Rafael,Albuquerque,,"[comics,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
37,Miles,Aldridge,,"[photography,portrait,surrealism,pop art]",0,0,0001-01-01,2,0001-01-01,2,,
38,Alex,Alemany,2021,"[symbolism,magical realism,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
